GeneID	GSM3145509	GSM3145510	GSM3145511	GSM3145512	GSM3145513	GSM3145514	GSM3145515	GSM3145516	GSM3145517	GSM3145518	GSM3145519	GSM3145520	GSM3145521	GSM3145522	GSM3145523	GSM3145524
105376403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101928298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107984207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101928322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10659	1	2	6	3	4	9	12	10	103	304	133	658	167	56	11	685
207107	0	0	0	0	0	0	0	0	166	475	258	319	239	76	30	265
105376405	0	0	0	0	0	0	0	3	0	0	1	3	0	0	1	2
254312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
439950	0	0	0	0	0	0	1	1	0	2	0	1	0	0	0	3
414196	0	0	0	0	0	0	0	0	3	6	0	7	1	2	0	14
105376409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9712	1329	1365	717	944	1346	1581	1803	1233	329	942	1128	802	1161	361	300	1052
105376411	15	11	5	10	17	14	18	11	9	18	17	14	22	6	3	11
105376410	0	0	0	0	0	0	0	1	3	17	10	24	16	3	0	14
107984208	11	9	3	3	6	6	7	3	0	2	4	2	4	1	0	2
105376413	0	0	0	0	0	1	1	1	2	3	1	3	1	2	1	2
105376412	0	0	0	1	0	1	0	0	0	1	0	2	1	0	0	1
79746	1310	1650	718	1067	1018	1097	966	628	1	2	1	0	0	0	1	1
105379850	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105376415	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
254427	352	471	207	301	200	186	216	157	58	159	466	94	392	157	129	97
219731	27	45	12	20	14	13	11	11	2	5	24	2	12	4	8	4
26019	4971	5292	2974	4145	3818	4884	4194	2938	331	909	849	717	946	231	194	672
105376416	0	0	1	1	1	0	0	1	0	2	4	1	3	0	1	1
55526	1241	1426	762	1208	1070	1045	1307	790	169	534	323	612	329	94	36	469
55176	746	874	475	757	813	873	953	707	179	449	745	928	395	151	186	950
100616488	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
11164	2586	3263	1658	2300	2437	3074	2753	1940	591	1439	1957	1056	1480	463	478	1136
8872	6942	7607	4198	5807	6348	7857	6150	4465	924	2534	3017	2731	2381	712	810	2892
57118	172	325	206	313	448	477	1061	616	44	127	222	283	170	53	104	314
107984209	0	0	0	2	0	0	0	0	1	1	0	2	2	0	1	2
100616151	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
100616320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
100313841	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
83643	5	9	12	18	5	5	28	12	3	0	8	1	1	0	1	3
105376418	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	1
10133	417	679	555	760	803	905	1102	822	336	1060	2455	945	1295	462	591	956
55388	1943	1790	762	1265	1517	2094	919	854	331	797	654	452	456	168	91	261
221044	0	0	0	0	2	0	1	0	1	3	2	0	1	2	0	0
5264	2038	2958	1401	2022	1488	1752	2926	1723	39	68	128	38	50	24	21	33
22929	3096	3394	2004	2885	3517	4180	3825	2942	395	1085	1148	1152	850	319	279	1147
105376419	1	0	0	2	2	5	1	0	0	0	2	0	0	0	0	0
105376420	0	0	1	0	1	4	0	2	0	0	0	0	2	0	0	0
222389	182	261	149	195	216	280	481	329	105	261	310	255	218	65	63	250
105376421	0	2	2	1	4	0	2	2	0	2	1	1	1	0	0	0
105376422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8559	1899	2107	1283	1810	2135	2418	2684	1888	221	647	849	513	549	185	164	512
55691	201	215	132	191	180	211	376	243	518	1455	1634	649	1874	569	635	740
105376426	42	51	29	31	10	12	15	5	9	30	34	10	17	6	3	11
105376425	0	2	0	0	2	1	0	0	7	28	51	26	37	7	21	34
101928453	0	0	0	0	2	3	4	3	1	1	2	8	2	1	0	2
100422843	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100302116	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
83641	2156	2422	998	1693	5218	6104	4135	3282	1272	3404	2481	1572	8093	2177	1824	2100
105376429	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
105376428	0	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0
441549	73	75	47	79	42	63	82	64	5	11	5	12	11	7	4	2
51182	2697	2947	1625	2478	2727	3111	3107	2278	330	799	523	656	869	243	109	731
79723	864	908	401	632	772	941	619	451	116	252	260	203	239	84	61	188
64421	1014	1015	659	862	786	1040	990	732	176	506	477	337	379	124	82	290
644890	28	65	29	41	13	15	52	27	5	11	7	13	15	4	0	3
108949267	11	6	5	2	6	6	6	5	6	15	13	11	12	4	3	14
105376432	0	0	1	0	1	1	1	2	0	3	2	1	1	0	2	2
55301	14	10	7	6	15	14	34	25	8	11	89	156	10	4	9	119
414149	498	508	241	321	469	403	488	270	145	488	528	458	355	106	117	497
221060	14	8	10	24	5	19	24	15	0	1	3	2	1	1	1	2
10557	695	783	303	543	656	803	682	565	105	333	295	285	215	95	51	275
105376431	6	8	5	14	2	3	6	9	3	6	2	8	6	0	0	0
9397	589	694	424	617	378	461	1337	712	119	308	332	142	301	90	66	135
107984210	50	27	27	37	15	31	57	31	11	40	28	18	27	6	2	28
100192204	3	2	0	1	0	1	1	0	18	71	35	39	81	28	12	60
105376434	5	1	1	2	1	3	4	1	1	4	0	1	4	3	1	7
107984211	0	1	1	0	0	0	1	1	6	24	10	7	10	2	5	11
221061	832	981	508	697	876	1022	1885	1057	332	791	424	348	774	290	92	409
105376433	0	2	0	0	0	0	0	6	0	5	0	1	0	0	1	1
8516	22	11	4	11	3	5	2	5	2	11	7	63	15	6	2	84
80013	3400	3591	1665	2517	2540	3202	3081	2205	286	814	870	988	857	271	144	1097
102724039	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
9317	1716	1855	904	1528	831	920	1256	748	234	661	647	481	673	276	109	571
389941	38	43	18	42	23	22	30	30	24	50	71	54	87	32	12	80
101928701	0	2	1	1	0	2	0	1	0	2	2	0	1	0	0	1
6251	2916	3483	1675	2664	1970	2342	1838	1423	678	2163	3015	2307	1672	502	718	2380
105376435	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
8029	36	45	7	36	23	17	29	23	7	23	11	12	25	10	4	28
1787	442	554	230	373	440	485	368	288	58	160	301	150	145	59	62	149
100507347	390	568	179	319	522	552	696	408	495	1138	466	654	2129	860	80	1072
7431	2465	3239	1139	1852	2881	3271	4463	2666	2670	6963	2258	3969	19352	6993	565	8083
338596	338	448	172	329	355	359	403	286	0	0	2	10	2	0	0	4
100128098	1379	1676	720	1300	1377	1526	1681	981	0	0	0	0	0	0	0	0
105376436	278	374	178	269	314	389	374	226	0	0	0	0	0	0	0	0
105376437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9200	21	41	52	104	46	53	89	82	78	275	422	166	301	108	82	217
102723166	75	101	52	83	51	47	80	45	17	61	87	39	33	10	6	34
8027	2168	2457	1060	1859	2117	2448	2170	1624	166	553	693	408	521	181	145	401
653567	12	7	6	12	6	8	4	5	6	15	15	22	22	10	6	30
107984212	0	0	0	0	0	0	0	0	0	1	2	1	0	0	0	1
4360	4	9	1	10	5	5	1	3	0	1	2	3	2	0	2	4
574445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
221074	2	5	0	0	0	0	1	1	0	0	1	9	0	0	0	0
100129213	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
783	458	575	267	334	265	331	441	268	59	133	195	132	99	26	35	90
107984213	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
221078	1691	1783	864	1317	1217	1424	1498	925	238	626	645	502	470	159	159	485
221079	2114	2142	1149	1901	2885	3230	3113	2252	522	1470	2915	757	1706	573	1014	776
105376440	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
107984180	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
340895	13	23	10	4	22	12	21	13	1	0	1	0	2	2	7	2
105376441	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
102724082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101928834	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
84898	1672	1812	889	1499	1941	2462	1291	1194	12	43	79	133	17	5	14	88
100616383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105376442	1	0	0	1	1	3	4	0	0	0	0	0	0	0	0	0
10529	2138	2502	1593	2424	4182	4586	6031	3941	147	382	1084	874	595	188	274	1035
102725112	0	0	0	0	0	5	0	0	1	0	4	1	4	0	1	1
100128511	17	18	6	22	14	14	23	14	3	4	5	4	3	0	0	5
105376444	0	0	0	0	0	0	0	0	0	3	7	3	0	1	5	5
105376445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
399726	23	21	31	40	38	45	46	33	68	168	97	61	95	24	70	46
100302129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
387640	15	20	20	35	22	20	38	38	13	31	22	46	17	5	50	33
8028	2211	2294	1093	1797	2295	2527	2335	1597	294	857	1102	687	800	272	273	713
107984214	1	8	4	2	3	13	6	6	2	7	29	10	8	8	6	6
64215	1191	1524	627	1056	1192	1544	1168	920	189	545	685	544	606	175	99	648
340900	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
100189083	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0
105376447	1	1	4	1	0	0	0	1	2	4	12	5	7	2	2	3
100130992	2	4	1	6	0	1	1	2	1	9	18	7	3	2	1	6
100532731	1734	1865	907	1554	1678	2007	2292	1637	802	2228	2452	1690	2513	822	607	1848
23412	702	954	325	617	637	693	961	587	139	405	596	378	333	132	84	338
648	1358	1383	734	1210	1391	1658	1831	1338	769	2111	2248	1571	2424	786	605	1731
9576	6	1	1	2	2	2	3	2	0	1	2	5	2	1	1	2
105376448	0	0	0	0	0	0	0	0	0	4	2	0	6	0	0	1
100499489	22	37	30	54	56	67	109	76	41	92	170	73	48	20	10	64
105376449	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0
105376450	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
5305	1214	1370	722	1070	1070	1245	1211	749	57	200	500	242	145	37	99	220
105376451	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
219681	1	7	0	0	2	4	0	0	3	9	8	12	11	1	0	6
107984215	1	0	1	1	0	1	2	0	0	1	2	2	1	0	0	1
22921	893	1277	496	709	588	686	964	590	153	360	243	284	226	89	18	271
256297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
256815	1	1	1	0	1	4	5	1	1	12	11	12	8	5	5	14
105376453	0	0	0	0	1	0	1	1	1	3	5	5	1	2	0	3
220213	185	230	146	162	235	205	273	200	20	57	184	98	71	25	127	98
105376454	0	0	0	0	0	0	0	0	0	0	6	4	0	2	0	8
56243	4361	4911	2314	3605	4712	5063	5741	3597	185	585	809	469	826	231	247	611
693188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105376455	1	0	0	0	0	0	0	0	1	1	1	1	0	0	4	0
57584	2584	2741	1307	2017	2704	2807	2860	1998	1608	4610	4412	3480	4902	1761	1032	4550
105376456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
56952	0	0	2	0	0	0	2	0	46	99	44	151	96	35	17	146
79896	2174	2397	1092	1643	1133	1417	1183	829	127	325	197	277	263	107	17	255
219670	55	53	21	42	35	45	18	36	6	9	9	23	8	6	2	26
101929025	266	236	149	208	429	426	393	364	0	5	0	1	0	1	0	7
100128811	491	565	338	436	526	694	485	391	0	0	0	0	0	0	0	2
57512	8350	8013	5361	7970	10064	12734	9987	8098	4	11	18	28	4	2	0	35
101929052	11	7	6	8	19	23	11	6	0	1	0	0	0	0	1	0
105376460	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101929073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
53904	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
2572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107984176	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
54518	1	0	5	3	1	3	4	0	0	0	0	0	0	0	0	0
101929117	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
645528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
102724202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105376461	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
731789	3	4	4	3	5	3	11	9	0	0	1	0	0	0	0	0
105376462	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
23590	597	644	213	420	369	466	288	250	80	235	362	175	159	47	65	157
10006	2885	3653	1734	2620	2987	3344	3047	2082	419	1283	2222	817	1911	609	685	1152
387644	17	18	17	14	26	37	26	23	0	1	1	0	1	0	0	1
22852	1330	1139	720	1058	1077	1245	1246	902	65	207	198	158	195	60	26	138
10730	7749	8283	4804	6814	5984	7008	6722	4683	2184	5991	6639	4950	6636	2113	1597	5312
84930	1185	1172	449	739	1213	1307	979	623	544	1608	2272	799	1688	585	641	766
91452	2143	2203	1396	1822	2492	2966	2056	1536	301	799	1280	687	951	330	333	657
387646	16	9	6	12	17	33	29	10	2	7	11	18	8	4	4	16
101060171	10	4	5	4	3	4	2	2	1	4	11	7	3	0	2	5
102724245	0	1	0	1	0	1	1	1	0	0	0	1	0	0	0	0
101929180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
374308	0	2	0	0	0	0	0	0	0	1	1	3	1	0	0	7
22931	8893	9349	6287	8750	10151	12183	10180	7235	597	1712	2050	1814	2031	628	533	2149
105376463	29	9	15	11	20	34	15	14	4	10	19	40	3	1	8	23
283078	0	1	0	0	0	0	1	0	21	57	321	435	35	5	129	521
101929202	0	0	0	0	0	0	0	1	0	0	5	7	0	0	1	5
55130	8	12	3	3	5	3	7	4	60	154	214	106	92	30	36	111
112268060	1	0	0	0	0	0	0	1	1	2	6	5	1	0	0	2
143098	659	741	391	486	583	638	511	394	183	477	318	1272	506	152	145	1534
106635548	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
102465880	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105376466	6	12	8	12	0	4	3	0	0	2	3	7	1	0	0	2
105376467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105376468	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0
107984216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
220906	2396	2672	1282	1970	2299	2547	2558	1807	241	656	877	727	577	223	195	707
51322	18497	19652	10073	14747	23127	25913	20357	15209	1881	5790	7774	4630	6590	1932	2080	5032
25805	919	1279	568	903	4236	4571	3706	3006	44	130	100	193	110	33	233	149
105376470	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107984170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
101929218	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
100507605	0	0	2	0	2	2	0	0	0	0	0	0	0	0	0	0
283080	0	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0
107984174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
107984171	5	2	0	1	1	3	3	5	0	0	0	2	0	0	0	0
105376471	13	13	14	10	10	27	12	8	0	2	2	1	0	0	1	0
105376472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
84569	0	1	0	0	0	0	0	0	1	0	1	2	4	0	1	0
107984217	16	10	12	11	0	2	3	2	0	0	0	2	0	0	0	1
105376473	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
105376474	1	4	1	2	3	8	6	4	0	2	0	1	0	0	0	4
102724316	561	772	354	566	564	735	646	466	197	494	449	407	417	163	126	370
6840	532	631	257	398	457	481	756	474	310	770	541	717	842	261	101	848
693189	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0
100126327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105376475	0	0	0	0	0	0	0	0	0	4	1	0	2	2	0	2
105376476	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
102724333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107984172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107984173	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0
107984218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
57608	242	290	146	203	184	197	214	156	236	703	343	425	522	162	143	615
101929256	4	3	1	1	1	2	2	0	3	10	6	11	4	3	0	20
105376477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
101929279	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
55149	1363	1424	641	1154	952	1331	1041	761	247	635	698	792	496	176	116	732
729668	7	9	4	11	3	8	14	7	0	1	0	1	1	0	0	0
102466227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1326	319	419	139	240	269	292	279	204	77	193	217	235	189	49	176	254
105376478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105376479	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
119180	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0
645954	5	2	2	2	2	3	5	2	7	11	10	19	23	5	2	20
105376480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
220929	264	362	206	207	191	271	266	164	82	201	187	346	159	46	22	358
105376481	3	12	3	10	9	14	16	10	1	11	9	7	7	2	0	15
105376482	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
105376483	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1
101929352	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0
220930	496	594	255	378	302	280	351	215	71	191	176	177	127	60	4	183
6935	40	81	33	35	50	42	40	27	579	1604	1363	810	1744	600	313	1026
100505502	0	0	0	0	0	0	0	0	4	13	11	8	1	1	0	6
105376484	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
101929951	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
94134	1316	1311	601	1075	1421	1560	1528	1112	271	709	1360	927	648	224	274	1090
107984219	442	409	290	297	383	540	465	310	14	42	21	32	37	10	2	24
105376485	0	7	2	0	2	6	1	3	1	1	0	7	0	0	1	0
3799	22786	25719	14226	19606	23162	25962	24972	17809	423	1299	596	1127	1227	353	101	1027
80314	1925	1941	1014	1714	1649	1897	2276	1671	267	708	953	663	695	260	199	689
102031319	2	0	1	0	0	1	2	2	8	18	22	21	17	4	2	14
101929431	19	27	15	30	28	22	20	12	7	27	30	17	17	5	3	14
79741	211	214	137	190	273	307	276	264	268	727	1017	685	925	309	286	798
105376486	21	28	12	21	35	60	42	39	122	308	646	661	541	134	344	781
3688	25209	27423	16713	24063	37049	42907	41330	30311	24946	68148	75439	60337	95565	31097	21232	76838
106633814	980	1110	730	1020	1635	1742	1823	1359	516	1437	1673	1314	2504	736	512	2014
101929475	108	141	52	84	53	58	93	57	155	357	589	226	445	168	110	297
101929447	0	0	0	0	0	0	0	0	0	3	3	0	9	1	1	1
8829	5403	6493	5811	7400	8929	10996	13527	10614	7420	20457	16917	12783	19679	6091	5376	12019
105376489	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105376490	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100505583	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0
56288	289	345	275	401	343	434	501	375	2140	5936	4378	4526	5281	1765	955	4471
100505601	7	10	6	12	5	12	15	10	2	0	0	2	3	0	0	1
105376491	71	200	94	146	48	44	58	68	0	0	1	3	0	1	0	1
8453	2935	3101	1427	2379	2292	2616	2256	1736	3570	10430	12627	10714	11227	3707	3425	11724
100500890	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1390	588	787	525	755	434	467	969	590	1020	2642	6572	5245	2824	903	2292	6139
105376493	0	2	0	0	0	0	0	0	1	1	5	0	1	0	0	1
219771	2334	2783	1388	2145	2859	3387	4521	2874	2790	7823	6668	6776	10001	3526	2752	7864
107984220	54	58	29	55	18	30	45	34	26	84	93	31	73	20	31	47
107984221	5	5	0	9	1	2	8	3	4	26	29	41	14	11	40	36
219770	0	3	0	2	0	1	0	0	0	1	5	11	4	0	6	9
8325	61	84	51	43	24	41	43	30	842	2175	1831	2679	3297	1119	589	4069
100616500	1	6	3	2	3	1	1	1	38	95	78	111	143	60	27	202
105376494	3	9	3	6	4	0	4	1	35	96	99	104	189	59	49	204
107984188	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
102578074	1	1	0	1	3	3	8	3	8	27	47	73	302	134	62	364
